airportname,latitude,longitude,count
Dong Tac,13.04955,109.333706,1
Dongshan,49.204997,119.825,7
Dongying Airport,37.2716,118.2819,3
Doomadgee Airport,-17.9403,138.822,2
Dortmund,51.518314,7.612242,22
Douala,4.006081,9.719481,30
Dourados Airport,-22.220833,-54.805833,1
Dr Ambedkar Intl,21.092192,79.047183,9
Dr Joaquin Balaguer International Airport,18.5725,-69.9856,1
Dresden,51.132767,13.767161,11
Dryden Rgnl,49.831667,-92.744167,3
Dubai Al Maktoum,24.55056,55.103174,37
Dubai Intl,25.252778,55.364444,272
Dubbo,-32.216667,148.574722,1
Dublin,53.421333,-6.270075,179
DuBois Regional Airport,41.1783,-78.8987,1
Dubrovnik,42.561353,18.268244,40
Duluth Intl,46.842091,-92.193649,1
Dumaguete,9.333714,123.300472,1
Dumatubun Airport,-5.661619,132.731431,1
Dunedin,-45.928055,170.198333,2
Dunhuang Airport,40.094,94.4818,2
Duong Dong Airport,10.227025,103.967169,2
Durango Intl,24.124194,-104.528014,2
Durango La Plata Co,37.151516,-107.75377,2
Durban Intl,-29.970089,30.950519,15
Dushanbe,38.543333,68.825,38
Dusseldorf,51.289453,6.766775,228
Dyce,57.201944,-2.197778,24
Dzaoudzi Pamandzi,-12.804722,45.281113,6
E T Joshua,13.144306,-61.210861,3
East London,-33.035569,27.825939,3
Eastmain River Airport,52.2264,-78.5225,1
Edinburgh,55.95,-3.3725,95
Edmonton Intl,53.309723,-113.579722,52
Eduardo Falla Solano,2.152175,-74.76635,1
Eduardo Gomes Intl,-3.038611,-60.049721,23
Edward Bodden Airfield,19.6591666667,-80.09083333,1
Edward G Pitka Sr,64.736178,-156.937417,5
Eek Airport,60.213611,-162.043889,1
Eelde,53.11972,6.579444,4
Egal Intl,9.518167,44.088758,2
Eglin Afb,30.48325,-86.5254,4
Eilat,29.561281,34.960081,3
Eindhoven,51.450139,5.374528,65
El Alto Intl,-16.513339,-68.192256,17
El Aroui Airport,34.9888,-3.02821,12
El Calafate,-50.280322,-72.053103,2
El Carano,5.690758,-76.641181,3
El Golea,30.571294,2.859586,1
El Loa,-22.498175,-68.903575,4
El Paso Intl,31.80725,-106.377583,15
El Plumerillo,-32.831717,-68.792856,7
El Salvador Intl,13.440947,-89.055728,41
El Tari,-10.171583,123.671136,6
El Tepual Intl,-41.438886,-73.093953,6
Elazig,38.606925,39.291417,3
Eldorado Intl,4.701594,-74.146947,130
Eldoret Intl,0.404458,35.238928,1
Eleftherios Venizelos Intl,37.936358,23.944467,145
Elim Airport,64.615,-162.270556,3
Elmas,39.251469,9.054283,33
Elmira Corning Rgnl,42.159889,-76.891611,1
Emelyanovo,56.18,92.475,31
Emmonak Airport,62.786111,-164.490833,2
Enfidha - Zine El Abidine Ben Ali International Airport,36.075833,10.438611,33
Enrique Malek Intl,8.391003,-82.434992,1
Entebbe Intl,0.042386,32.443503,11
Entzheim,48.538319,7.628233,19
Enugu,6.474272,7.561961,1
Eppley Afld,41.303167,-95.894069,23
Erbil Intl,36.237611,43.963158,10
Ercan International Airport,35.1547,33.4961,10
Erechim Airport,-27.6619,-52.2683,1
Erfurt,50.979811,10.958106,5
Erhac,38.435347,38.091006,1
Erkilet,38.770386,35.495428,4
Ernesto Cortissoz,10.889589,-74.780819,5
Eros Airport,-22.6122,17.0804,2
Erzincan,39.710203,39.527003,1
Erzurum,39.956501,41.170166,2
Es Senia,35.623858,-0.621183,26
Esenboga,40.128082,32.995083,42
Esfahan Shahid Beheshti Intl,32.750836,51.861267,14
Esperance Airport,-33.6844,121.823,1
Esquel,-42.90795,-71.139472,1
EuroAirport Basel-Mulhouse-Freiburg,47.59,7.529167,74
Evansville Regional,38.036997,-87.532364,3
Evenes,68.4913,16.678108,5
Exeter,50.734444,-3.413889,19
Exuma Intl,23.562631,-75.877958,2
Faa\\'a International,-17.556667,-149.611389,26
Fabio Alberto Leon Bentley,1.253664,-70.233878,1
Fairbanks Intl,64.815114,-147.856267,22
Fairmont Hot Springs,64.193333,-83.359444,3
Fak Fak,-2.920192,132.267031,2
Fakarava,-16.05415,-145.656994,1
Falconara,43.616389,13.362222,5
Faleolo Intl,-13.829969,-172.008336,1
Falls Intl,48.566186,-93.403067,1
Faro,37.014425,-7.965911,85
Fascene,-13.312067,48.314822,1
Fatmawati Soekarno,-3.8637,102.339036,1
Fayetteville Regional Grannis Field,34.9912,-78.8803,2
Fera/Maringe Airport,-8.1075,159.577,1
Fergana Airport,40.3588,71.745,3
Ferihegy,47.436933,19.255592,58
Fernando De Noronha,-3.854928,-32.423336,1
Firenze,43.809953,11.2051,33
Fiumicino,41.804475,12.250797,239
Flamingo,12.131044,-68.268511,3
Flesland,60.293386,5.218142,52
Flin Flon,54.678055,-101.681667,2
Flores,39.455272,-31.131361,3
Floro,61.583611,5.024722,4
Ford Airport,45.8183611,-88.1145556,1
Forde Bringeland,61.392,5.763,1
Fort Albany Airport,52.2014,-81.6969,1
Fort Chipewyan,58.767223,-111.117222,1
Fort Frances Municipal Airport,48.6542,-93.4397,1
Fort Good Hope,66.26666667,-128.65,1
Fort Hope Airport,51.5619,-87.9078,2
Fort Lauderdale Hollywood Intl,26.072583,-80.15275,161
Fort Mcmurray,56.653333,-111.221944,8
Fort Nelson,58.836389,-122.596944,2
Fort Severn Airport,56.0189,-87.6761,2
